Experiment,Parameter,Outcome,Memory,Runtime,Detection delay,TP,FP,FN
DDM,0.0,,904.0,37.63022500061197,2.0,1.0,1.0,0.0
EDDM,0.0,,1472.0,34.55404000123963,126.0,1.0,0.0,0.0
EWMA,0.0,,960.0,48.592535000352655,1.0,1.0,4.0,0.0
FHDDM,0.0,,1744.0,37.083482999150874,238.0,1.0,0.0,0.0
FHDDMS,0.0,,1920.0,51.41774199728388,255.0,0.0,1.0,1.0
FHDDMS.add,0.0,,1224.0,40.71810500317952,255.0,0.0,0.0,1.0
HDDM.A.test,0.0,,1296.0,49.880655999004375,93.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,52.94441600199207,255.0,0.0,1.0,1.0
MDDM.A.100,0.0,,1976.0,88.58892599891988,115.0,1.0,0.0,0.0
MDDM.E.100,0.0,,1968.0,65.02715700116823,255.0,0.0,1.0,1.0
MDDM.G.100,0.0,,1968.0,82.71749699997599,255.0,0.0,0.0,1.0
NO_DETECTION,0.0,,320.0,33.708611998008564,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,35.53802000169526,255.0,0.0,1.0,1.0
RDDM,0.0,,64024.0,39.79555600017193,2.0,1.0,1.0,0.0
SeqDrift2,0.0,,30272.0,46.905310002330225,199.0,1.0,0.0,0.0
ADWIN,0.0,,6632.0,65.65465799940284,87.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,101.27645499960636,13.0,1.0,0.0,0.0
CDDM,0.0,,8944.0,93.93025000099442,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,50.81056099879788,233.0,1.0,0.0,0.0
DDM,0.0,,904.0,43.20255299899145,16.0,1.0,0.0,0.0
EDDM,0.0,,1472.0,34.4414470018819,179.0,1.0,2.0,0.0
EWMA,0.0,,960.0,41.749770000024,16.0,1.0,3.0,0.0
FHDDM,0.0,,1744.0,37.17680399859091,255.0,0.0,1.0,1.0
FHDDMS,0.0,,1920.0,51.85168200114276,255.0,0.0,0.0,1.0
FHDDMS.add,0.0,,1224.0,40.35997200116981,255.0,0.0,0.0,1.0
HDDM.A.test,0.0,,1264.0,50.42176600181847,152.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,53.962355999829015,255.0,0.0,0.0,1.0
MDDM.A.100,0.0,,1976.0,99.28024599867058,255.0,0.0,1.0,1.0
MDDM.E.100,0.0,,1968.0,67.68893299886258,255.0,0.0,0.0,1.0
MDDM.G.100,0.0,,1968.0,69.34247900062473,255.0,0.0,1.0,1.0
NO_DETECTION,0.0,,320.0,33.46965899982024,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,35.78916300102719,255.0,0.0,1.0,1.0
RDDM,0.0,,64024.0,39.45400999873527,159.0,1.0,3.0,0.0
SeqDrift2,0.0,,30272.0,45.949064999149414,199.0,1.0,0.0,0.0
ADWIN,0.0,,6592.0,66.3639759986836,55.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,110.96915999951307,5.0,1.0,1.0,0.0
